theta_deg,theta_rad,N,1_minus_cos,1_over_N,sigma_theta_rad,sigma_1_minus_cos,sigma_N,sigma_1_over_N
0.0,0.000000,922,0.000000,0.001085,0.017,0.000000,9.2,0.000011
10.0,0.174533,905,0.015192,0.001105,0.017,0.002952,9.1,0.000011
15.0,0.261800,850,0.034074,0.001176,0.017,0.004400,8.5,0.000012
20.0,0.349066,819,0.060307,0.001221,0.017,0.005814,8.2,0.000012
30.0,0.523599,755,0.133975,0.001325,0.017,0.008500,7.6,0.000013
40.0,0.698132,685,0.233956,0.001460,0.017,0.010927,6.9,0.000015
50.0,0.872665,600,0.357213,0.001667,0.017,0.013023,6.0,0.000017
60.0,1.047198,542,0.500000,0.001845,0.017,0.014722,5.4,0.000018
70.0,1.221731,481,0.657980,0.002079,0.017,0.015975,4.8,0.000021
80.0,1.396264,421,0.826352,0.002375,0.017,0.016742,4.2,0.000024
90.0,1.570797,389,1.000001,0.002571,0.017,0.017000,3.9,0.000026
100.0,1.745330,359,1.173649,0.002786,0.017,0.016742,3.6,0.000028
110.0,1.919863,325,1.342021,0.003077,0.017,0.015975,3.3,0.000031
